,GroundTruth,Unified,baran,bigdansing,boostclean,holoclean,horizon,mode,scared
GroundTruth,1.0,0.07326530281044641,0.9975286869452522,0.7600676581708026,0.002052148843043944,0.9342789021047607,0.49715558824833317,0.14371914877737169,0.05049950890178179
Unified,0.07326530281044641,1.0,0.4090129680535206,0.9342789021047607,0.9827748279337044,0.7600676581708026,0.9928330539595723,0.9999994237426183,0.9999999976556517
baran,0.9975286869452522,0.4090129680535206,1.0,0.9928330539595723,0.03403123812019271,0.9998744410527837,0.9342789021047607,0.588144967012475,0.32754055465089826
bigdansing,0.7600676581708026,0.9342789021047607,0.9928330539595723,1.0,0.32754055465089826,0.999986194097221,0.999986194097221,0.9827748279337044,0.8904728950641322
boostclean,0.002052148843043944,0.9827748279337044,0.03403123812019271,0.32754055465089826,1.0,0.14371914877737169,0.588144967012475,0.9342789021047607,0.9928330539595723
holoclean,0.9342789021047607,0.7600676581708026,0.9998744410527837,0.999986194097221,0.14371914877737169,1.0,0.9975286869452522,0.8904728950641322,0.6773734972743771
horizon,0.49715558824833317,0.9928330539595723,0.9342789021047607,0.999986194097221,0.588144967012475,0.9975286869452522,1.0,0.9993359178468414,0.9827748279337044
mode,0.14371914877737169,0.9999994237426183,0.588144967012475,0.9827748279337044,0.9342789021047607,0.8904728950641322,0.9993359178468414,1.0,0.999986194097221
scared,0.05049950890178179,0.9999999976556517,0.32754055465089826,0.8904728950641322,0.9928330539595723,0.6773734972743771,0.9827748279337044,0.999986194097221,1.0
